owner_name	date	shares_held	change_in_shares	change_%	value_X1000
INTEGRATED ADVISORS NETWORK LLC	06/30/2021	26,581	7,709	40.849%	$580
AVITAS WEALTH MANAGEMENT LLC	06/30/2021	26,518	-12,290	-31.669%	$579
DAIWA SECURITIES GROUP INC.	06/30/2021	26,216	26,216	New	$572
VALEO FINANCIAL ADVISORS, LLC	06/30/2021	26,050	5,420	26.272%	$568
MERIDIAN INVESTMENT COUNSEL INC.	06/30/2021	25,941	-509	-1.924%	$566
DAVENPORT & CO LLC	06/30/2021	25,920	1,720	7.107%	$566
VISTA WEALTH MANAGEMENT GROUP, LLC	06/30/2021	25,833	2,000	8.392%	$564
CASTLE ROCK WEALTH MANAGEMENT, LLC	03/31/2021	25,757	8,185	46.58%	$562
WEALTHGATE FAMILY OFFICE, LLC	03/31/2021	25,480	25,480	New	$556
THOMAS STORY & SON LLC	06/30/2021	25,385	25,385	New	$554
APOLLON WEALTH MANAGEMENT, LLC	03/31/2021	25,248	25,248	New	$551
COASTAL INVESTMENT ADVISORS, INC.	06/30/2021	25,166	3,906	18.373%	$549
ARKADIOS WEALTH ADVISORS	06/30/2021	25,087	16,387	188.356%	$547
INTEGRATED WEALTH CONCEPTS LLC	03/31/2021	24,930	24,930	New	$544
BURNS J W & CO INC/NY	06/30/2021	24,660	-4,465	-15.33%	$538
MANDATUM LIFE INSURANCE CO LTD	06/30/2021	24,548	7,794	46.52%	$536
PERENNIAL INVESTMENT ADVISORS, LLC	06/30/2021	24,532	24,532	New	$535
WADE G W & INC	03/31/2021	24,530	0	0%	$535
DYNAMIC ADVISOR SOLUTIONS LLC	03/31/2021	24,429	5,022	25.877%	$533
JOEL ISAACSON & CO., LLC	06/30/2021	24,378	-1,568	-6.043%	$532
JAFFETILCHIN INVESTMENT PARTNERS, LLC	03/31/2021	23,725	23,725	New	$518
WEALTHSPIRE ADVISORS, L.P.	09/30/2020	23,600	23,600	New	$515
MAVEN SECURITIES LTD	03/31/2021	23,372	14,472	162.607%	$510
ADVISORY SERVICES NETWORK, LLC	03/31/2021	23,299	15,125	185.038%	$508
TOROSO INVESTMENTS, LLC	03/31/2021	23,095	23,095	New	$504
PHOENIX WEALTH ADVISORS	06/30/2021	22,963	22,963	New	$501
GAMCO INVESTORS, INC. ET AL	03/31/2021	22,950	450	2%	$501
PARISI GRAY WEALTH MANAGEMENT	03/31/2021	22,928	928	4.218%	$500
MAI CAPITAL MANAGEMENT	06/30/2021	22,693	1,023	4.721%	$495
1832 ASSET MANAGEMENT L.P.	03/31/2021	22,615	17,888	378.422%	$493
SHEAFF BROCK INVESTMENT ADVISORS, LLC	03/31/2021	22,600	22,600	New	$493
SICART ASSOCIATES LLC	06/30/2021	22,564	22,564	New	$492
LAIDLAW WEALTH MANAGEMENT LLC	03/31/2021	22,461	22,461	New	$490
M HOLDINGS SECURITIES, INC.	03/31/2021	22,394	22,394	New	$489
FINANCIAL ENGINES ADVISORS L.L.C.	03/31/2021	22,191	-1,011	-4.357%	$484
JEFFERIES GROUP LLC	03/31/2021	22,146	22,146	New	$483
PROSHARE ADVISORS LLC	03/31/2021	22,003	22,003	New	$480
BIRINYI ASSOCIATES INC	06/30/2021	22,000	-5,000	-18.519%	$480
BLUE CHIP WEALTH MANAGEMENT, INC.	09/30/2020	22,000	22,000	New	$480
SANDERS MORRIS HARRIS LLC	06/30/2021	22,000	-1,000	-4.348%	$480
PARSONS CAPITAL MANAGEMENT INC/RI	06/30/2021	21,820	0	0%	$476
CERITY PARTNERS LLC	03/31/2021	21,641	21,641	New	$472
DRAPER ASSET MANAGEMENT, LLC	03/31/2021	21,282	2,751	14.845%	$464
AVANTAX ADVISORY SERVICES, INC.	06/30/2021	21,149	7,331	53.054%	$461
KOSHINSKI ASSET MANAGEMENT, INC.	06/30/2021	20,660	-3,150	-13.23%	$451
CWM, LLC	06/30/2021	20,649	-3,271	-13.675%	$451
CAPTRUST FINANCIAL ADVISORS	03/31/2021	20,395	8,365	69.534%	$445
ARCHFORD CAPITAL STRATEGIES, LLC	06/30/2021	20,365	9,560	88.478%	$444
CLARO ADVISORS LLC	03/31/2021	20,254	-2,646	-11.555%	$442
REGENTATLANTIC CAPITAL LLC	03/31/2021	20,112	20,112	New	$439
NKCFO LLC	06/30/2021	20,000	20,000	New	$436
SP ASSET MANAGEMENT	06/30/2021	19,865	1,500	8.168%	$433
NWAM LLC	06/30/2021	19,676	4,265	27.675%	$429
KEYWISE CAPITAL MANAGEMENT (HK) LTD	03/31/2021	19,500	19,500	New	$425
MOORS & CABOT, INC.	03/31/2021	19,480	1,300	7.151%	$425
STEEL PEAK WEALTH MANAGEMENT LLC	03/31/2021	19,180	6,081	46.423%	$419
CAMDEN CAPITAL, LLC	03/31/2021	19,096	19,096	New	$417
PRINCETON GLOBAL ASSET MANAGEMENT LLC	06/30/2021	19,000	1,000	5.556%	$415
NEUBERGER BERMAN GROUP LLC	03/31/2021	18,757	18,757	New	$409
Y-INTERCEPT (HONG KONG) LTD	03/31/2021	18,725	-3,311	-15.025%	$409
RMR WEALTH BUILDERS	03/31/2021	18,711	17,451	1385%	$408
CETERA ADVISORS LLC	03/31/2021	18,628	18,628	New	$406
HOHIMER WEALTH MANAGEMENT, LLC	06/30/2021	18,614	6,055	48.212%	$406
AMP CAPITAL INVESTORS LTD	03/31/2021	18,400	18,400	New	$401
J.W. COLE ADVISORS, INC.	06/30/2021	17,968	7,990	80.076%	$392
DOUGLASS WINTHROP ADVISORS, LLC	06/30/2021	17,900	4,000	28.777%	$391
SCHONFELD STRATEGIC ADVISORS LLC	03/31/2021	17,839	-15,061	-45.778%	$389
VANGUARD CAPITAL WEALTH ADVISORS	06/30/2021	17,600	6,000	51.724%	$384
SEPIO CAPITAL, LP	06/30/2021	17,425	-1,165	-6.267%	$380
ADVISORS ASSET MANAGEMENT, INC.	06/30/2021	17,117	9,191	115.96%	$373
HOEY INVESTMENTS, INC	12/31/2020	17,088	17,088	New	$373
BOOTHBAY FUND MANAGEMENT, LLC	03/31/2021	16,856	16,856	New	$368
ALTA WEALTH ADVISORS LLC	06/30/2021	16,807	1,261	8.111%	$367
MAYFLOWER FINANCIAL ADVISORS, LLC	06/30/2021	16,787	5,853	53.53%	$366
SEACREST WEALTH MANAGEMENT, LLC	03/31/2021	16,586	4,318	35.197%	$362
FIRST NATIONAL TRUST CO	06/30/2021	16,500	6,500	65%	$360
GOLDEN STATE EQUITY PARTNERS	03/31/2021	16,410	16,410	New	$358
FDX ADVISORS, INC.	06/30/2021	16,313	16,313	New	$356
CAAS CAPITAL MANAGEMENT LP	03/31/2021	16,213	16,213	New	$354
UNIVERSITY OF MASSACHUSETTS FOUNDATION, INC.	03/31/2021	16,169	16,169	New	$353
HOOVER FINANCIAL ADVISORS, INC.	06/30/2021	15,976	0	0%	$349
KERNTKE OTTO MCGLONE WEALTH MANAGEMENT GROUP	06/30/2021	15,912	0	0%	$347
SAND HILL GLOBAL ADVISORS, LLC	03/31/2021	15,901	15,901	New	$347
IFP ADVISORS, INC	06/30/2021	15,864	-1,028	-6.086%	$346
BECKER CAPITAL MANAGEMENT INC	03/31/2021	15,412	15,412	New	$336
BUDROS, RUHLIN & ROE, INC.	03/31/2021	15,376	15,376	New	$336
EXENCIAL WEALTH ADVISORS, LLC	03/31/2021	15,211	3,096	25.555%	$332
KOVACK ADVISORS, INC.	06/30/2021	15,209	223	1.488%	$332
INVESCO LTD.	03/31/2021	15,043	-6,922	-31.514%	$328
HAMILTON LANE ADVISORS LLC	06/30/2021	15,031	-8,136	-35.119%	$328
BELLEVUE ASSET MANAGEMENT, LLC	03/31/2021	15,000	5,000	50%	$327
DEFENDER CAPITAL, LLC.	06/30/2021	15,000	15,000	New	$327
VIRTU FINANCIAL LLC	03/31/2021	14,996	-108,020	-87.81%	$327
NORTHROCK PARTNERS, LLC	03/31/2021	14,774	14,774	New	$322
WEALTH ALLIANCE	03/31/2021	14,725	-575	-3.758%	$321
MARATHON TRADING INVESTMENT MANAGEMENT LLC	03/31/2021	14,600	14,600	New	$319
WINTHROP ADVISORY GROUP LLC	06/30/2021	14,584	300	2.1%	$318
LEVEL FOUR ADVISORY SERVICES, LLC	03/31/2021	14,418	14,418	New	$315
FIL LTD	03/31/2021	14,400	14,400	New	$314
BBVA USA	06/30/2021	14,270	14,270	New	$311
BBVA USA BANCSHARES, INC.	03/31/2021	14,270	14,270	New	$311
ATOM INVESTORS LP	03/31/2021	14,241	-629	-4.23%	$311
HOWARD FINANCIAL SERVICES, LTD.	06/30/2021	14,226	14,226	New	$310
BOSTON PRIVATE WEALTH LLC	03/31/2021	14,143	14,143	New	$309
NORTH AMERICAN MANAGEMENT CORP	03/31/2021	13,995	13,995	New	$305
MERIDIAN WEALTH MANAGEMENT, LLC	06/30/2021	13,535	4,325	46.96%	$295
MOLONEY SECURITIES ASSET MANAGEMENT, LLC	06/30/2021	13,526	2,360	21.136%	$295
CALTON & ASSOCIATES, INC.	03/31/2021	13,512	13,512	New	$295
BANK HAPOALIM BM	06/30/2021	13,382	-1,472	-9.91%	$292
PARKER INVESTMENT MANAGEMENT, LLC	06/30/2021	13,218	13,218	New	$288
FINANCIAL ADVOCATES INVESTMENT MANAGEMENT	06/30/2021	13,208	-9,725	-42.406%	$288
GENTRUST, LLC	03/31/2021	13,000	3,000	30%	$284
FRED ALGER MANAGEMENT, LLC	03/31/2021	12,902	12,902	New	$282
ACG WEALTH	06/30/2021	12,888	435	3.493%	$281
O'DELL GROUP, LLC	03/31/2021	12,861	12,861	New	$281
CLEARSTEAD ADVISORS, LLC	03/31/2021	12,717	12,234	2532.919%	$277
NOVARE CAPITAL MANAGEMENT LLC	06/30/2021	12,475	2,000	19.093%	$272
EVERGREEN CAPITAL MANAGEMENT LLC	03/31/2021	12,428	12,428	New	$271
DCM ADVISORS, LLC	03/31/2021	12,259	12,259	New	$267
UNITED MARITIME CAPITAL LLC	03/31/2021	12,250	10,900	807.407%	$267
EMPIRICAL FINANCIAL SERVICES, LLC D.B.A. EMPIRICAL WEALTH MA	03/31/2021	12,245	12,245	New	$267
CAPITAL INVESTMENT ADVISORY SERVICES, LLC	06/30/2021	12,223	12,223	New	$267
MAINSTAY CAPITAL MANAGEMENT LLC /ADV	06/30/2021	12,119	12,119	New	$264
VIGILARE WEALTH MANAGEMENT	06/30/2021	12,115	3,435	39.574%	$264
BRIDGEWATER ADVISORS INC.	06/30/2021	12,051	12,051	New	$263
KILEY JUERGENS WEALTH MANAGEMENT, LLC	06/30/2021	12,040	12,040	New	$263
INSIGHT ADVISORS, LLC/ PA	03/31/2021	11,950	-3,000	-20.067%	$261
ATLAS PRIVATE WEALTH ADVISORS	06/30/2021	11,843	6,306	113.888%	$258
INVESTORS FINANCIAL GROUP, LLC	06/30/2021	11,772	3,147	36.487%	$257
GENEOS WEALTH MANAGEMENT INC.	06/30/2021	11,733	-5,235	-30.852%	$256
SLOW CAPITAL, INC.	06/30/2021	11,656	-5,014	-30.078%	$254
BAY COLONY ADVISORY GROUP, INC D/B/A BAY COLONY ADVISORS	06/30/2021	11,468	700	6.501%	$250
CUTTER & CO BROKERAGE, INC.	03/31/2021	11,354	-303	-2.599%	$248
REDHAWK WEALTH ADVISORS, INC.	06/30/2021	11,320	11,320	New	$247
SASSICAIA CAPITAL ADVISERS LLC	03/31/2021	11,163	11,163	New	$244
COVINGTON CAPITAL MANAGEMENT	03/31/2021	11,099	6,245	128.657%	$242
BEIRNE WEALTH CONSULTING SERVICES, LLC	03/31/2021	11,038	-3,462	-23.876%	$241
CREEGAN & NASSOURA FINANCIAL GROUP, LLC	03/31/2021	11,000	11,000	New	$240
CONCORDE ASSET MANAGEMENT, LLC	06/30/2021	10,928	-555	-4.833%	$238
ICON WEALTH PARTNERS, LLC	06/30/2021	10,832	-3,043	-21.932%	$236
AMUNDI ASSET MANAGEMENT US, INC.	03/31/2021	10,731	10,731	New	$234
GRAYPOINT LLC	06/30/2021	10,630	-5,314	-33.329%	$232
SCHMIDT P J INVESTMENT MANAGEMENT INC	06/30/2021	10,629	0	0%	$232
STRATOS WEALTH ADVISORS, LLC	06/30/2021	10,624	-2,349	-18.107%	$232
CSENGE ADVISORY GROUP	06/30/2021	10,530	10,530	New	$230
OXINAS PARTNERS WEALTH MANAGEMENT LLC	06/30/2021	10,509	10,509	New	$229
SPOTLIGHT ASSET GROUP, INC.	03/31/2021	10,493	-5,230	-33.263%	$229
HOLISTIC FINANCIAL PARTNERS	03/31/2021	10,456	10,456	New	$228
PROVIDENCE CAPITAL ADVISORS, LLC	03/31/2021	10,300	10,300	New	$225
STRATEGY ASSET MANAGERS LLC	06/30/2021	10,186	10,186	New	$222
RED WAVE INVESTMENTS LLC	03/31/2021	10,129	10,129	New	$221
PEKIN HARDY STRAUSS, INC.	03/31/2021	10,100	200	2.02%	$220
BELLECAPITAL INTERNATIONAL LTD.	06/30/2021	10,000	10,000	New	$218
WESPAC ADVISORS, LLC	06/30/2021	10,000	-10,800	-51.923%	$218
D.A. DAVIDSON & CO.	03/31/2021	9,940	-90,956	-90.148%	$217
GLOBAL TRUST ASSET MANAGEMENT, LLC	06/30/2021	9,900	9,900	New	$216
GM ADVISORY GROUP, INC.	03/31/2021	9,771	9,771	New	$213
JSF FINANCIAL, LLC	03/31/2021	9,755	9,755	New	$213
ADALTA CAPITAL MANAGEMENT LLC	03/31/2021	9,730	9,730	New	$212
GOOD LIFE ADVISORS, LLC	06/30/2021	9,692	-1,570	-13.941%	$211
LINDBROOK CAPITAL, LLC	06/30/2021	9,481	1,000	11.791%	$207
WEALTHCARE ADVISORY PARTNERS LLC	03/31/2021	9,466	9,466	New	$207
ASHFORD CAPITAL MANAGEMENT INC	03/31/2021	9,411	9,411	New	$205
YORKTOWN MANAGEMENT & RESEARCH CO INC	06/30/2021	9,350	9,350	New	$204
FARMERS & MERCHANTS TRUST CO OF LONG BEACH	06/30/2021	9,342	9,342	New	$204
HBK INVESTMENTS L P	03/31/2021	9,254	9,254	New	$202
BELPOINTE ASSET MANAGEMENT LLC	03/31/2021	9,182	9,182	New	$200
WESTERN FINANCIAL CORPORATION	06/30/2021	9,165	9,165	New	$200
PARK AVENUE SECURITIES LLC	06/30/2021	9,142	-2,254	-19.779%	$199
GFS ADVISORS, LLC	06/30/2021	9,110	-8,000	-46.756%	$199
VENTURE VISIONARY PARTNERS LLC	06/30/2021	9,050	9,050	New	$197
MIRAE ASSET GLOBAL INVESTMENTS CO., LTD.	03/31/2021	9,009	9,009	New	$197
AIMZ INVESTMENT ADVISORS, LLC	06/30/2021	8,950	8,950	New	$195
GLADSTONE INSTITUTIONAL ADVISORY LLC	03/31/2021	8,935	8,935	New	$195
FIRST HORIZON ADVISORS, INC.	03/31/2021	8,885	2,425	37.539%	$194
STONEX GROUP INC.	06/30/2021	8,876	8,876	New	$194
TRH FINANCIAL, LLC	06/30/2021	8,775	8,775	New	$191
SYNOVUS FINANCIAL CORP	03/31/2021	8,734	8,734	New	$191
INVESTMENT HOUSE LLC	06/30/2021	8,720	0	0%	$190
AMERITAS INVESTMENT COMPANY, LLC	03/31/2021	8,648	8,648	New	$189
LIBERTY ONE INVESTMENT MANAGEMENT, LLC	06/30/2021	8,586	2,050	31.365%	$187
MCRAE CAPITAL MANAGEMENT INC	06/30/2021	8,550	8,550	New	$187
TOWER RESEARCH CAPITAL LLC (TRC)	03/31/2021	8,537	-283,702	-97.079%	$186
PROBITY ADVISORS, INC.	06/30/2021	8,401	8,401	New	$183
SIGNATUREFD, LLC	06/30/2021	8,396	63	0.756%	$183
V WEALTH ADVISORS LLC	06/30/2021	8,348	8,348	New	$182
BUCKINGHAM STRATEGIC WEALTH, LLC	06/30/2021	8,336	8,336	New	$182
LIVFORSAKRINGSBOLAGET SKANDIA, OMSESIDIGT	06/30/2021	8,300	8,300	New	$181
FENIMORE ASSET MANAGEMENT INC	06/30/2021	8,299	8,299	New	$181
COBBLESTONE CAPITAL ADVISORS LLC /NY/	06/30/2021	8,270	-5,000	-37.679%	$180
OPTIMUM INVESTMENT ADVISORS	06/30/2021	8,064	2,564	46.618%	$176
IFG ADVISORY, LLC	06/30/2021	8,059	8,059	New	$176
HIRTLE CALLAGHAN & CO LLC	03/31/2021	8,005	8,005	New	$175
SHIKIAR ASSET MANAGEMENT INC	06/30/2021	8,000	8,000	New	$175
LAZARD ASSET MANAGEMENT LLC	03/31/2021	7,851	7,851	New	$171
NEWMAN DIGNAN & SHEERAR, INC.	06/30/2021	7,800	7,800	New	$170
EDGE WEALTH MANAGEMENT LLC	06/30/2021	7,792	306	4.088%	$170
HARVEST FUND MANAGEMENT CO., LTD	03/31/2021	7,711	0	0%	$168
EVOKE WEALTH, LLC	06/30/2021	7,686	2,886	60.125%	$168
WE ARE ONE SEVEN, LLC	06/30/2021	7,582	7,582	New	$165
ATTICUS WEALTH MANAGEMENT, LLC	06/30/2021	7,422	7,395	27388.889%	$162
PACER ADVISORS, INC.	06/30/2021	7,289	7,289	New	$159
GLOBAL WEALTH MANAGEMENT INVESTMENT ADVISORY, INC.	03/31/2021	6,949	3,684	112.833%	$152
CENTRAL TRUST CO	06/30/2021	6,400	400	6.667%	$140
ADVISORNET FINANCIAL, INC	06/30/2021	6,085	1,010	19.901%	$133
KINGSVIEW WEALTH MANAGEMENT, LLC	03/31/2021	5,960	5,960	New	$130
TRADITION WEALTH MANAGEMENT, LLC	03/31/2021	5,802	2,572	79.628%	$127
ACCEL WEALTH MANAGEMENT	06/30/2021	5,760	5,760	New	$126
BDO WEALTH ADVISORS, LLC	03/31/2021	5,110	4,560	829.091%	$112
MCCARTHY ASSET MANAGEMENT, INC.	06/30/2021	5,017	402	8.711%	$109
BALDWIN BROTHERS INC/MA	06/30/2021	5,000	0	0%	$109
BANCO DE SABADELL, S.A	03/31/2021	5,000	0	0%	$109
CAROLINAS WEALTH CONSULTING LLC	03/31/2021	5,000	5,000	New	$109
FIRST PACIFIC ADVISORS, LP	03/31/2021	5,000	635	14.548%	$109
LUMINA FUND MANAGEMENT LLC	03/31/2021	5,000	0	0%	$109
C M BIDWELL & ASSOCIATES LTD	03/31/2021	4,941	4,941	New	$108
KINGS POINT CAPITAL MANAGEMENT	03/31/2021	4,905	4,905	New	$107
GPS WEALTH STRATEGIES GROUP, LLC	06/30/2021	4,680	2,510	115.668%	$102
HUDOCK, INC.	03/31/2021	4,680	180	4%	$102
BERMAN CAPITAL ADVISORS, LLC	03/31/2021	4,635	4,635	New	$101
CARROLL FINANCIAL ASSOCIATES, INC.	06/30/2021	4,591	3,991	665.167%	$100
GLOBAL RETIREMENT PARTNERS, LLC	06/30/2021	4,509	-857	-15.971%	$98
TWIN LAKES CAPITAL MANAGEMENT, LLC	06/30/2021	4,493	4,493	New	$98
CENTAURUS FINANCIAL, INC.	03/31/2021	4,392	4,392	New	$96
ATLAS CAPITAL ADVISORS LLC	06/30/2021	4,311	0	0%	$94
EXANE DERIVATIVES	06/30/2021	4,127	0	0%	$90
HEXAGON CAPITAL PARTNERS LLC	03/31/2021	3,900	3,900	New	$85
STONEBRIDGE CAPITAL ADVISORS LLC	03/31/2021	3,815	3,815	New	$83
LEGAL & GENERAL GROUP PLC	03/31/2021	3,765	3,765	New	$82
CORBENIC PARTNERS LLC	06/30/2021	3,705	-115	-3.01%	$81
CATALYST CAPITAL ADVISORS LLC	06/30/2021	3,700	3,700	New	$81
CENTERPOINT ADVISORS, LLC	06/30/2021	3,655	-700	-16.073%	$80
VESTOR CAPITAL, LLC	03/31/2021	3,200	1,200	60%	$70
SRS CAPITAL ADVISORS, INC.	06/30/2021	3,175	3,125	6250%	$69
WAGNER WEALTH MANAGEMENT, LLC	03/31/2021	3,121	3,121	New	$68
BESSEMER GROUP INC	06/30/2021	3,065	-1,875	-37.955%	$67
CREDIT AGRICOLE S A	03/31/2021	3,000	3,000	New	$65
JACOBI CAPITAL MANAGEMENT LLC	03/31/2021	2,850	-130	-4.362%	$62
S.A. MASON LLC	06/30/2021	2,725	0	0%	$59
WESTSIDE INVESTMENT MANAGEMENT, INC.	06/30/2021	2,700	100	3.846%	$59
EAGLE BAY ADVISORS LLC	06/30/2021	2,614	2,614	New	$57
ORION CAPITAL MANAGEMENT LLC	03/31/2021	2,600	0	0%	$57
BLUME CAPITAL MANAGEMENT, INC.	03/31/2021	2,575	2,050	390.476%	$56
GABLES CAPITAL MANAGEMENT INC.	06/30/2021	2,500	0	0%	$55
TRUSTCORE FINANCIAL SERVICES, LLC	06/30/2021	2,482	100	4.198%	$54
ANCORA ADVISORS, LLC	03/31/2021	2,400	400	20%	$52
HUNTING HILL GLOBAL CAPITAL, LLC	03/31/2021	2,195	-729	-24.932%	$48
ROCKBRIDGE INVESTMENT MANAGEMENT, LCC	06/30/2021	2,185	0	0%	$48
NORTH STAR INVESTMENT MANAGEMENT CORP.	06/30/2021	2,175	175	8.75%	$47
BENJAMIN F. EDWARDS & COMPANY, INC.	03/31/2021	2,135	1,050	96.774%	$47
1623 CAPITAL LLC	03/31/2021	2,083	2,083	New	$45
WALLED LAKE PLANNING & WEALTH MANAGEMENT, LLC	03/31/2021	2,063	2,063	New	$45
PITTENGER & ANDERSON INC	03/31/2021	2,000	2,000	New	$44
PLANTE MORAN FINANCIAL ADVISORS, LLC	03/31/2021	2,000	2,000	New	$44
TIMESCALE FINANCIAL, INC.	06/30/2021	1,982	629	46.489%	$43
ALLWORTH FINANCIAL LP	06/30/2021	1,948	500	34.53%	$43
NWK GROUP, INC.	03/31/2021	1,915	850	79.812%	$42
CLOSE ASSET MANAGEMENT LTD	06/30/2021	1,900	0	0%	$41
TCI WEALTH ADVISORS, INC.	06/30/2021	1,900	1,500	375%	$41
HARBOUR INVESTMENTS, INC.	03/31/2021	1,870	1,870	New	$41
WASHINGTON TRUST CO	06/30/2021	1,775	0	0%	$39
VALLEY NATIONAL ADVISERS INC	06/30/2021	1,687	100	6.301%	$37
MONTAG A & ASSOCIATES INC	06/30/2021	1,648	1,051	176.047%	$36
HORAN SECURITIES, INC.	06/30/2021	1,635	1,635	New	$36
CYPRESS CAPITAL MANAGEMENT LLC (WY)	03/31/2021	1,562	1,562	New	$34
PINNACLE BANCORP, INC.	06/30/2021	1,554	0	0%	$34
AVONDALE WEALTH MANAGEMENT	06/30/2021	1,500	-7,500	-83.333%	$33
LARSON FINANCIAL GROUP LLC	03/31/2021	1,419	426	42.9%	$31
CLEAR PERSPECTIVES FINANCIAL PLANNING, LLC	06/30/2021	1,400	1,400	New	$31
OAKWORTH CAPITAL, INC.	06/30/2021	1,400	0	0%	$31
CREWE ADVISORS LLC	03/31/2021	1,327	1,155	671.512%	$29
PROEQUITIES, INC.	03/31/2021	1,320	880	200%	$29
CONCORD WEALTH PARTNERS	06/30/2021	1,305	1,305	New	$28
HUNTINGTON NATIONAL BANK	06/30/2021	1,300	1,300	New	$28
HARTFORD FINANCIAL MANAGEMENT INC.	06/30/2021	1,250	0	0%	$27
TSFG, LLC	06/30/2021	1,250	500	66.667%	$27
REILLY FINANCIAL ADVISORS, LLC	06/30/2021	1,249	35	2.883%	$27
ARCHER INVESTMENT CORP	06/30/2021	1,227	0	0%	$27
CARMICHAEL HILL & ASSOCIATES, INC.	06/30/2021	1,218	200	19.646%	$27
PARK CIRCLE CO	03/31/2021	1,200	0	0%	$26
PINNACLE HOLDINGS, LLC	03/31/2021	1,200	-300	-20%	$26
TOTH FINANCIAL ADVISORY CORP	06/30/2021	1,185	90	8.219%	$26
GEMMER ASSET MANAGEMENT LLC	06/30/2021	1,125	0	0%	$25
NORTHERN OAK WEALTH MANAGEMENT INC	03/31/2021	1,100	1,100	New	$24
STERLING FINANCIAL PLANNING, INC.	06/30/2021	1,100	100	10%	$24
PRIVATE CAPITAL GROUP, LLC	06/30/2021	1,053	53	5.3%	$23
ARCADIA INVESTMENT MANAGEMENT CORP/MI	06/30/2021	1,000	0	0%	$22
BENJAMIN EDWARDS INC	03/31/2021	1,000	1,000	New	$22
D'ORAZIO & ASSOCIATES, INC.	06/30/2021	1,000	-4,240	-80.916%	$22
WEBSTER BANK, N. A.	06/30/2021	1,000	1,000	New	$22
FMR LLC	03/31/2021	924	-4,175	-81.879%	$20
PINNACLE FINANCIAL PARTNERS INC	06/30/2021	895	695	347.5%	$20
PINNACLE WEALTH ADVISORS	06/30/2021	895	895	New	$20
ELLIS INVESTMENT PARTNERS, LLC	06/30/2021	765	615	410%	$17
EUDAIMONIA PARTNERS, LLC	03/31/2021	730	730	New	$16
HAREL INSURANCE INVESTMENTS & FINANCIAL SERVICES LTD.	06/30/2021	650	-4,616	-87.657%	$14
WINCH ADVISORY SERVICES, LLC	06/30/2021	643	0	0%	$14
WEALTHSHIELD PARTNERS, LLC	06/30/2021	640	-32	-4.762%	$14
LENOX WEALTH ADVISORS, LLC	06/30/2021	575	0	0%	$13
PACITTI GROUP INC.	03/31/2021	560	160	40%	$12
TRADEWINDS CAPITAL MANAGEMENT, LLC	06/30/2021	510	10	2%	$11
CORE WEALTH ADVISORS, INC.	06/30/2021	500	400	400%	$11
FINTRUST CAPITAL ADVISORS, LLC	03/31/2021	500	0	0%	$11
SANDY SPRING BANK	03/31/2021	500	-736	-59.547%	$11
TEN CAPITAL WEALTH ADVISORS, LLC	03/31/2021	500	0	0%	$11
ZIONS BANCORPORATION, N.A.	03/31/2021	500	500	New	$11
SARGENT BICKHAM LAGUDIS LLC	06/30/2021	471	412	698.305%	$10
GRADIENT INVESTMENTS LLC	06/30/2021	444	0	0%	$10
JOSEPH P. LUCIA & ASSOCIATES, LLC	06/30/2021	433	0	0%	$9
SOA WEALTH ADVISORS, LLC.	06/30/2021	432	0	0%	$9
EXCHANGE TRADED CONCEPTS, LLC	06/30/2021	406	406	New	$9
SALEM INVESTMENT COUNSELORS INC	03/31/2021	403	403	New	$9
BURLESON & COMPANY, LLC	06/30/2021	400	400	New	$9
ELMWOOD WEALTH MANAGEMENT, INC.	03/31/2021	400	400	New	$9
TRUVESTMENTS CAPITAL LLC	03/31/2021	350	-50	-12.5%	$8
LAUREL WEALTH ADVISORS LLC	06/30/2021	300	0	0%	$7
SONORA INVESTMENT MANAGEMENT, LLC	03/31/2021	300	0	0%	$7
TACITA CAPITAL INC	03/31/2021	300	-277	-48.007%	$7
HHM WEALTH ADVISORS, LLC	06/30/2021	272	0	0%	$6
DELTA ASSET MANAGEMENT LLC/TN	06/30/2021	270	250	1250%	$6
SOLSTEIN CAPITAL, LLC	03/31/2021	250	250	New	$5
WINSLOW, EVANS & CROCKER, INC.	12/31/2020	250	250	New	$5
MIZUHO SECURITIES CO. LTD.	06/30/2021	225	2	0.897%	$5
BOGART WEALTH, LLC	06/30/2021	224	50	28.736%	$5
IRONWOOD FINANCIAL, LLC	06/30/2021	205	197	2462.5%	$4
FINANCIAL MANAGEMENT PROFESSIONALS, INC.	06/30/2021	200	0	0%	$4
SMITHFIELD TRUST CO	06/30/2021	200	0	0%	$4
MACROVIEW INVESTMENT MANAGEMENT LLC	06/30/2021	195	195	New	$4
MOISAND FITZGERALD TAMAYO, LLC	06/30/2021	180	0	0%	$4
ASSET DEDICATION, LLC	06/30/2021	176	0	0%	$4
STERLING INVESTMENT ADVISORS, LTD.	06/30/2021	155	-845	-84.5%	$3
ALPHA DNA INVESTMENT MANAGEMENT LLC	03/31/2021	153	153	New	$3
RIGGS ASSET MANAGMENT CO. INC.	06/30/2021	150	-200	-57.143%	$3
SAVIOR LLC	06/30/2021	150	25	20%	$3
SUGARLOAF WEALTH MANAGEMENT, LLC	06/30/2021	150	50	50%	$3
PATRIOT FINANCIAL GROUP INSURANCE AGENCY, LLC	06/30/2021	142	1	0.709%	$3
COLUMN CAPITAL ADVISORS, LLC	06/30/2021	110	110	New	$2
